name ,ring,quadrant,isNew,Description
APL,Current,Languages,FALSE,<p>APL</p>
Bash/Shell,Current,Languages,FALSE,
C,Current,Languages,FALSE,
C#,Current,Languages,FALSE,
C++,Current,Languages,FALSE,
Clojure,Current,Languages,FALSE,
Crystal,Current,Languages,FALSE,
Dart,Current,Languages,FALSE,
Delphi,Current,Languages,FALSE,
Elixir,Current,Languages,FALSE,
Erlang,Current,Languages,FALSE,
F#,Current,Languages,FALSE,
Fortran,Current,Languages,FALSE,
Go,Current,Languages,FALSE,
Groovy,Current,Languages,FALSE,
Haskell,Current,Languages,FALSE,
HTML/CSS,Current,Languages,FALSE,
Java,Current,Languages,FALSE,
COBOL,Current,Languages,FALSE,
PHP,Current,Languages,FALSE,
JavaScript,Current,Languages,FALSE,
Julia,Current,Languages,FALSE,
Kotlin,Current,Languages,FALSE,
LISP,Current,Languages,FALSE,
LUA,Current,Languages,FALSE,
MATLAB,Current,Languages,FALSE,
OCaml,Current,Languages,FALSE,
Objective-C,Current,Languages,FALSE,
Perl,Current,Languages,FALSE,
PHP2,Current,Languages,FALSE,
Poweshell,Current,Languages,FALSE,
Python,Current,Languages,FALSE,
R,Current,Languages,FALSE,
Ruby,Current,Languages,FALSE,
Rust,Current,Languages,FALSE,
SAS,Current,Languages,FALSE,
Scala,Current,Languages,FALSE,
Solidity,Current,Languages,FALSE,
SQL,Current,Languages,FALSE,
TypeScript,Current,Languages,FALSE,
Cassandra,Emerging,Database,FALSE,
Couchbase,Emerging,Database,FALSE,
CouchDB,Emerging,Database,FALSE,
Cloud Firestore,Emerging,Database,FALSE,
DynamoDB,Emerging,Database,FALSE,
Elasticsearch,Emerging,Database,FALSE,
IBM DB2,Emerging,Database,FALSE,
MariaDB,Emerging,Database,FALSE,
Microsoft SQL Server,Emerging,Database,FALSE,
MongoDB,Emerging,Database,FALSE,
MySQL,Emerging,Database,FALSE,
Neo4j,Emerging,Database,FALSE,
Oracle,Emerging,Database,FALSE,
PostgreSQL,Emerging,Database,FALSE,
Firebase Realtime Database,Emerging,Database,FALSE,
Redis,Emerging,Database,FALSE,
SQLite,Emerging,Database,FALSE,
Hazelcast,Emerging,Database,FALSE,
Oracle Coherence,Emerging,Database,FALSE,
Apache Ignite,Emerging,Database,FALSE,
Angular,Declining,Web Framework,FALSE,
ASP,Declining,Web Framework,FALSE,
Blazor,Declining,Web Framework,FALSE,
Dojo,Declining,Web Framework,FALSE,
Django,Declining,Web Framework,FALSE,
Drupal,Declining,Web Framework,FALSE,
Express,Declining,Web Framework,FALSE,
Feathers.js,Declining,Web Framework,FALSE,
Fastify,Declining,Web Framework,FALSE,
Flask,Declining,Web Framework,FALSE,
Gatsby,Declining,Web Framework,FALSE,
JQuery,Declining,Web Framework,FALSE,
Laravel,Declining,Web Framework,FALSE,
Next.js,Declining,Web Framework,FALSE,
Node.js,Declining,Web Framework,FALSE,
Nuxt.js,Declining,Web Framework,FALSE,
Play,Declining,Web Framework,FALSE,
React,Declining,Web Framework,FALSE,
Ruby on Rails,Declining,Web Framework,FALSE,
Vue.js,Declining,Web Framework,FALSE,
.NET,Dead,Other Framework,FALSE,
Apache Kafka,Dead,Other Framework,FALSE,
Apache Spark,Dead,Other Framework,FALSE,
Capacitor,Dead,Other Framework,FALSE,
Cordova,Dead,Other Framework,FALSE,
Electron,Dead,Other Framework,FALSE,
Flutter,Dead,Other Framework,FALSE,
GTK,Dead,Other Framework,FALSE,
Hadoop,Dead,Other Framework,FALSE,
Ionic,Dead,Other Framework,FALSE,
Keras,Dead,Other Framework,FALSE,
Pandas,Dead,Other Framework,FALSE,
Qt,Dead,Other Framework,FALSE,
React Native,Dead,Other Framework,FALSE,
Scikit-learn,Dead,Other Framework,FALSE,
Spring,Dead,Other Framework,FALSE,
TensorFlow,Dead,Other Framework,FALSE,
Torch/PyTorch,Dead,Other Framework,FALSE,
Hugging Face Transformers,Dead,Other Framework,FALSE,
Xamarin,Dead,Other Framework,FALSE,