name,ring,quadrant,isNew,Description
React,HIGH,WEB FRAMEWORKS,FALSE,
Rust,MID,LANGUAGE,FALSE,
Electron,LOW,OTHER FRAMEWORKS,FALSE,
APL,UNUSED,LANGUAGE,FALSE,
Hadoop,LOW,OTHER FRAMEWORKS,FALSE,
Couchbase,LOW,DATABASE,FALSE,
LISP,LOW,LANGUAGE,FALSE,
PHP,LOW,LANGUAGE,FALSE,
Apache Spark,LOW,OTHER FRAMEWORKS,FALSE,
MariaDB,HIGH,DATABASE,FALSE,
Laravel,LOW,WEB FRAMEWORKS,FALSE,
Feathers.js,LOW,WEB FRAMEWORKS,FALSE,
CouchDB,LOW,DATABASE,FALSE,
TensorFlow,LOW,OTHER FRAMEWORKS,FALSE,
TypeScript,HIGH,LANGUAGE,FALSE,
Oracle,HIGH,DATABASE,FALSE,
C#,LOW,LANGUAGE,FALSE,
Objective-C,LOW,LANGUAGE,FALSE,
Erlang,LOW,LANGUAGE,FALSE,
Delphi,LOW,LANGUAGE,FALSE,
SQL,HIGH,LANGUAGE,FALSE,
PHP2,MID,LANGUAGE,FALSE,
Perl,LOW,LANGUAGE,FALSE,
F#,LOW,LANGUAGE,FALSE,
GTK,LOW,OTHER FRAMEWORKS,FALSE,
Elasticsearch,HIGH,DATABASE,FALSE,
MATLAB,LOW,LANGUAGE,FALSE,
Spring,HIGH,OTHER FRAMEWORKS,FALSE,
Keras,LOW,OTHER FRAMEWORKS,FALSE,
Neo4j,LOW,DATABASE,FALSE,
Hugging Face Transformers,UNUSED,OTHER FRAMEWORKS,FALSE,
Flutter,LOW,OTHER FRAMEWORKS,FALSE,
OCaml,LOW,LANGUAGE,FALSE,
IBM DB2,LOW,DATABASE,FALSE,
Ionic,LOW,OTHER FRAMEWORKS,FALSE,
SQLite,MID,DATABASE,FALSE,
LUA,LOW,LANGUAGE,FALSE,
Apache Kafka,HIGH,OTHER FRAMEWORKS,FALSE,
Dojo,LOW,WEB FRAMEWORKS,FALSE,
C++,MID,LANGUAGE,FALSE,
Cordova,LOW,OTHER FRAMEWORKS,FALSE,
Gatsby,LOW,WEB FRAMEWORKS,FALSE,
Blazor,UNUSED,WEB FRAMEWORKS,FALSE,
Solidity,LOW,LANGUAGE,FALSE,
Elixir,LOW,LANGUAGE,FALSE,
MongoDB,HIGH,DATABASE,FALSE,
Firebase Realtime Database,LOW,DATABASE,FALSE,
Qt,LOW,OTHER FRAMEWORKS,FALSE,
R,LOW,LANGUAGE,FALSE,
Poweshell,MID,LANGUAGE,FALSE,
DynamoDB,LOW,DATABASE,FALSE,
JQuery,HIGH,WEB FRAMEWORKS,FALSE,
Fastify,LOW,WEB FRAMEWORKS,FALSE,
Redis,HIGH,DATABASE,FALSE,
Drupal,UNUSED,WEB FRAMEWORKS,FALSE,
Pandas,LOW,OTHER FRAMEWORKS,FALSE,
JavaScript,HIGH,LANGUAGE,FALSE,
Crystal,UNUSED,LANGUAGE,FALSE,
Cassandra,HIGH,DATABASE,FALSE,
Bash/Shell,HIGH,LANGUAGE,FALSE,
Angular,MID,WEB FRAMEWORKS,FALSE,
COBOL,LOW,LANGUAGE,FALSE,
Groovy,HIGH,LANGUAGE,FALSE,
Dart,UNUSED,LANGUAGE,FALSE,
Oracle Coherence,LOW,DATABASE,FALSE,
React Native,MID,OTHER FRAMEWORKS,FALSE,
Capacitor,LOW,OTHER FRAMEWORKS,FALSE,
Django,LOW,WEB FRAMEWORKS,FALSE,
Nuxt.js,LOW,WEB FRAMEWORKS,FALSE,
Flask,LOW,WEB FRAMEWORKS,FALSE,
Go,HIGH,LANGUAGE,FALSE,
Play,LOW,WEB FRAMEWORKS,FALSE,
Microsoft SQL Server,HIGH,DATABASE,FALSE,
Ruby,LOW,LANGUAGE,FALSE,
Express,MID,WEB FRAMEWORKS,FALSE,
Hazelcast,LOW,DATABASE,FALSE,
Haskell,LOW,LANGUAGE,FALSE,
PostgreSQL,HIGH,DATABASE,FALSE,
Julia,UNUSED,LANGUAGE,FALSE,
Next.js,LOW,WEB FRAMEWORKS,FALSE,
Python,HIGH,LANGUAGE,FALSE,
.NET,LOW,OTHER FRAMEWORKS,FALSE,
Clojure,LOW,LANGUAGE,FALSE,
C,MID,LANGUAGE,FALSE,
Torch/PyTorch,LOW,OTHER FRAMEWORKS,FALSE,
Ruby on Rails,LOW,WEB FRAMEWORKS,FALSE,
Cloud Firestore,LOW,DATABASE,FALSE,
Scikit-learn,LOW,OTHER FRAMEWORKS,FALSE,
Node.js,HIGH,WEB FRAMEWORKS,FALSE,
Java,HIGH,LANGUAGE,FALSE,
Fortran,LOW,LANGUAGE,FALSE,
Scala,LOW,LANGUAGE,FALSE,
HTML/CSS,HIGH,LANGUAGE,FALSE,
ASP,LOW,WEB FRAMEWORKS,FALSE,
MySQL,HIGH,DATABASE,FALSE,
SAS,LOW,LANGUAGE,FALSE,
Kotlin,LOW,LANGUAGE,FALSE,